,name,title,kill_order,mtype,mwep,gc,dm,gender
401,Joe,The Mist,21,burns,fire,No,No,0
402,Morales,The Mist,22,suicide,noose,No,No,0
403,Donaldson,The Mist,23,suicide,noose,No,No,0
404,Jessup,The Mist,24,bite,bite,No,No,0
405,Carmody,The Mist,25,shot (head),gun,No,No,1
406,Myron,The Mist,26,bite,bite,No,No,0
407,Ollie,The Mist,27,torn in half,claw,No,No,0
408,Ambrose,The Mist,28,bite,bite,No,No,0
409,Stephanie Drayton,The Mist,29,cocooned,cocoon,No,No,1
410,Unnamed,The Mist,30,cocooned,cocoon,No,No,1
411,Billy Drayton,The Mist,31,shot (head),gun,No,No,0
412,Amanda,The Mist,32,shot (head),gun,No,No,1
413,Irene,The Mist,33,shot (head),gun,No,No,1
414,Dan,The Mist,34,shot (head),gun,No,No,0
415,Emma,Trick r' Treat,1,slash (throat),lollipop,No,No,1
416,Charlie,Trick r' Treat,2,poisoned,poison,Yes,No,0
417,Unnamed,Trick r' Treat,3,bludgeoned (head),shovel,No,No,3
418,Unnamed,Trick r' Treat,4,bite,bite,No,No,1
419,Unnamed,Trick r' Treat,5,drowned,crash,No,No,3
420,Unnamed,Trick r' Treat,6,drowned,crash,No,No,3
421,Unnamed,Trick r' Treat,7,drowned,crash,No,No,3
422,Unnamed,Trick r' Treat,8,drowned,crash,No,No,3
423,Unnamed,Trick r' Treat,9,drowned,crash,No,No,3
424,Unnamed,Trick r' Treat,10,drowned,crash,No,No,3
425,Unnamed,Trick r' Treat,11,drowned,crash,No,No,3
426,Unnamed,Trick r' Treat,12,drowned,crash,No,No,3
427,Sarah,Trick r' Treat,13,unknown,unknown,No,No,1
428,Macy,Trick r' Treat,14,unknown,unknown,No,Yes,1
429,Chip,Trick r' Treat,15,unknown,unknown,No,Yes,0
430,Schrader,Trick r' Treat,16,unknown,unknown,No,Yes,0
431,Unnamed,Trick r' Treat,17,slash (throat),unknown,No,No,0
432,Unnamed,Trick r' Treat,18,unknown,unknown,No,No,0
433,Unnamed,Trick r' Treat,19,unknown,unknown,No,No,0
434,Unnamed,Trick r' Treat,20,unknown,unknown,No,No,0
435,Unnamed,Trick r' Treat,21,unknown,unknown,No,No,0
436,Unnamed,Trick r' Treat,22,unknown,unknown,No,No,0
437,Unnamed,Trick r' Treat,23,unknown,unknown,No,No,0
438,Unnamed,Trick r' Treat,24,unknown,unknown,No,No,0
439,Unnamed,Trick r' Treat,25,unknown,unknown,No,No,0
440,Steven Wilkins,Trick r' Treat,26,bite,bite,No,No,0
441,Kreeg,Trick r' Treat,27,ripped apart,hands,No,No,0
442,Kane,Alien,1,stab (chest),chest burst,Yes,No,0
443,Brett,Alien,2,stab (head),bite,No,No,0
444,Dallas,Alien,3,unknown,unknown,No,Yes,0
445,Ash,Alien,4,burns,fire,No,No,2
446,Parker,Alien,5,stab (head),bite,No,No,0
447,Lambert,Alien,6,unknown,unknown,No,No,1
448,Unnamed,Aliens,1,unknown,unknown,No,No,1
449,Unnamed,Aliens,2,unknown,unknown,No,No,0
450,Unnamed,Aliens,3,stab (chest),chest burst,Yes,No,1
451,Frost,Aliens,4,falling,gravity,No,No,0
452,Dietrich,Aliens,5,unknown,unknown,No,No,1
453,Crowe,Aliens,6,explosion,bomb,No,No,0
454,Wierzbowski,Aliens,7,unknown,unknown,No,No,0
455,Apone,Aliens,8,unknown,unknown,No,No,0
456,Drake,Aliens,9,burns,acid,No,No,0
457,Spunkmeyer,Aliens,10,unknown,unknown,No,No,0
458,Ferro,Aliens,11,stab (head),bite,No,No,1
459,Hudson,Aliens,12,unknown,unknown,No,No,0
460,Carter J. Burke,Aliens,13,stab (head),bite,No,Yes,0
461,Vasquez,Aliens,14,explosion,grenade,No,No,0
462,Gorman,Aliens,15,explosion,grenade,No,No,1
463,"Rebecca ""Newt"" Jorden",Alien 3,1,drowned,accident,No,No,1
464,Dwayne Hicks,Alien 3,2,stab,spike,No,No,0
465,Murphy,Alien 3,3,ground up,fan,No,No,0
466,Rains,Alien 3,4,stab (head),bite,No,No,0
467,Boggs,Alien 3,5,stab (head),bite,No,No,0
468,Bishop,Alien 3,6,deactivated,deactivated,No,No,3
469,Clemens,Alien 3,7,stab (head),bite,Yes,No,0
470,Andrews,Alien 3,8,unknown,unknown,No,No,0
471,Frank,Alien 3,9,stab (head),bite,No,No,0
472,Unnamed,Alien 3,10,explosion,explosive,No,No,0
473,Unnamed,Alien 3,11,explosion,explosive,No,No,0
474,Unnamed,Alien 3,12,explosion,explosive,No,No,0
475,Unnamed,Alien 3,13,explosion,explosive,No,No,0
476,Unnamed,Alien 3,14,explosion,explosive,No,No,0
477,Unnamed,Alien 3,15,explosion,explosive,No,No,0
478,Unnamed,Alien 3,16,explosion,explosive,No,No,0
479,Unnamed,Alien 3,17,explosion,explosive,No,No,0
480,Unnamed,Alien 3,18,explosion,explosive,No,No,0
481,Vincent,Alien 3,19,bite,bite,No,No,0
482,Troy,Alien 3,20,unknown,unknown,No,Yes,0
483,David,Alien 3,21,stab (head),bite,No,No,0
484,Kevin,Alien 3,22,bite,bite,No,No,0
485,Eric,Alien 3,23,unknown,unknown,No,No,0
486,William,Alien 3,24,unknown,unknown,No,No,0
487,Jude,Alien 3,25,unknown,unknown,No,No,0
488,Gregor,Alien 3,26,slash (throat),unknown,No,No,0
489,Dillon,Alien 3,27,burns,molten metal,No,No,0
490,Aaron,Alien 3,28,shot,gun,No,No,0
491,Ellen Ripley,Alien 3,29,suicide,molten metal,No,No,1
492,Unnamed,ThanksKilling,1,slash,axe,No,No,1
493,Unnamed,ThanksKilling,2,shot (head),gun,No,No,0
494,Unnamed,ThanksKilling,3,decapitated,knife,No,No,0
495,Unnamed,ThanksKilling,4,eyes gouged,beak,No,No,1
496,Unnamed,ThanksKilling,5,slash (throat),unknown,No,No,0
497,Ali,ThanksKilling,6,neck snapped,hands,No,Yes,1
498,Roud,ThanksKilling,7,unknown,unknown,No,No,0
499,Billy Drayton,ThanksKilling,8,stab (chest),unknown,No,No,0
500,Darren,ThanksKilling,9,stab (chest),beak,Yes,No,0
501,Johnny,ThanksKilling,10,stab (gut),knife,No,No,0
502,Unnamed,Alien Resurrection,1,shot (chest),gun,No,No,0
503,Unnamed,Alien Resurrection,2,shot (chest),gun,No,No,0
504,Unnamed,Alien Resurrection,3,shot (chest),gun,No,No,0
505,Unnamed,Alien Resurrection,4,shot (chest),gun,No,No,0
506,Unnamed,Alien Resurrection,5,shot (chest),gun,No,No,0
507,Unnamed,Alien Resurrection,6,shot (chest),gun,No,No,0
508,Unnamed,Alien Resurrection,7,shot (head),gun,No,No,0
509,Unnamed,Alien Resurrection,8,frozen,liquid nitrogen,No,No,0
510,Unnamed,Alien Resurrection,9,unknown,unknown,No,No,0
511,Unnamed,Alien Resurrection,10,unknown,unknown,No,No,0
512,Unnamed,Alien Resurrection,11,unknown,unknown,No,No,0
513,Unnamed,Alien Resurrection,12,unknown,unknown,No,No,0
514,Unnamed,Alien Resurrection,13,unknown,unknown,No,No,0
515,Unnamed,Alien Resurrection,14,unknown,unknown,No,No,0
516,Perez,Alien Resurrection,15,stab (head),bite,No,No,0
517,Elgyn,Alien Resurrection,16,stab (back),bite,No,No,0
518,Unnamed,Alien Resurrection,17,stab (chest),chest burst,No,No,0
519,Unnamed,Alien Resurrection,18,stab (chest),chest burst,No,No,0
520,Unnamed,Alien Resurrection,19,stab (chest),chest burst,No,No,0
521,Unnamed,Alien Resurrection,20,stab (chest),chest burst,No,No,0
522,Unnamed,Alien Resurrection,21,stab (chest),chest burst,No,No,0
523,Hillard,Alien Resurrection,22,unknown,unknown,No,No,1
524,Christy,Alien Resurrection,23,drowned,water,No,Yes,0
525,Purvis,Alien Resurrection,24,stab (chest),chest burst,Yes,No,0
526,Wren,Alien Resurrection,25,stab (head),bite,No,No,0
527,Unnamed,Alien Resurrection,26,cocooned,cocoon,No,No,0
528,Unnamed,Alien Resurrection,27,cocooned,cocoon,No,No,0
529,Unnamed,Alien Resurrection,28,cocooned,cocoon,No,No,0
530,Gediman,Alien Resurrection,29,bite,bite,No,No,0
531,Distephano,Alien Resurrection,30,head crushed,hands,No,No,0
532,Clare,Black Christmas,1,suffocated,bag,No,No,1
533,Mac,Black Christmas,2,stab (head),hook,No,No,1
534,Janice Quaife,Black Christmas,3,unknown,unknown,No,No,1
535,Barb,Black Christmas,4,stab,glass,Yes,No,1
536,Phyl,Black Christmas,5,unknown,unknown,No,Yes,1
537,Jennings,Black Christmas,6,slash (throat),unknown,No,No,0
538,Peter,Black Christmas,7,unknown,spike,No,No,0
539,Lindsay,Black Christmas (2006 Remake),1,stab (chest),icicle,No,No,1
540,Franny,Black Christmas (2006 Remake),2,suffocated,wire,No,No,1
541,Jesse,Black Christmas (2006 Remake),3,chop (head),axe,No,Yes,1
542,Nate,Black Christmas (2006 Remake),4,shot (head),arrow,No,No,0
543,Unnamed,Black Christmas (2006 Remake),5,stab (throat),keys,Yes,No,0
544,Marty,Black Christmas (2006 Remake),6,chop (gut),axe,No,No,1
545,Unnamed,Black Christmas (2006 Remake),7,stab (head),knife,No,No,0
546,Unnamed,Black Christmas (2006 Remake),8,stab (chest),glass,No,No,0
547,Gil O'Leary,Black Christmas (2006 Remake),9,stab (back),knife,No,No,0
548,Unnamed,Black Christmas (2006 Remake),10,suffocated,bag,No,No,0
549,Helena,Black Christmas (2006 Remake),11,neck snapped,hands,No,No,1
550,Unnamed,Black Christmas (2006 Remake),12,shot (back),arrow,No,No,0
551,Gelson,Black Christmas (2006 Remake),13,burns,fire,No,No,0
552,Brian Huntley,Black Christmas (2006 Remake),14,burns,fire,No,No,0
553,Phil,Black Christmas (2006 Remake),15,burns,fire,No,No,0
554,Unnamed,Black Christmas (2006 Remake),16,burns,fire,No,No,0
555,Unnamed,Black Christmas (2006 Remake),17,burns,fire,No,No,0
556,Unnamed,Black Christmas (2006 Remake),18,burns,fire,No,No,0
557,Unnamed,Black Christmas (2006 Remake),19,burns,fire,No,No,0
558,Unnamed,Black Christmas (2006 Remake),20,burns,fire,No,No,0
559,Unnamed,Black Christmas (2006 Remake),21,burns,fire,No,No,0
560,Unnamed,Black Christmas (2006 Remake),22,burns,fire,No,No,0
561,Unnamed,Black Christmas (2006 Remake),23,burns,fire,No,No,0
562,Unnamed,Black Christmas (2006 Remake),24,burns,fire,No,No,0
563,Unnamed,Black Christmas (2006 Remake),25,burns,fire,No,No,0
564,Unnamed,Black Christmas (2006 Remake),26,burns,fire,No,No,0
565,Unnamed,Black Christmas (2006 Remake),27,burns,fire,No,No,0
566,Yvonne,New Year's Evil,1,unknown,knife,No,No,1
567,Jane,New Year's Evil,2,stab (throat),knife,No,No,1
568,Sally,New Year's Evil,3,suffocated,bag,Yes,No,1
569,Lisa,New Year's Evil,4,unknown,unknown,No,No,1
570,Richard,New Year's Evil,5,suicide,gravity,No,No,0
571,Unnamed,New Year's Evil,6,unknown,unknown,No,Yes,0
572,Gene Green,Killer Clowns From Outer Space,1,cocooned,cocoon,No,No,0
573,Joe Lombardo,Killer Clowns From Outer Space,2,cocooned,cocoon,No,No,0
574,Unnamed,Killer Clowns From Outer Space,3,cocooned,cocoon,No,No,0
575,Unnamed,Killer Clowns From Outer Space,4,cocooned,cocoon,No,No,1
576,Unnamed,Killer Clowns From Outer Space,5,cocooned,cocoon,No,No,1
577,Unnamed,Killer Clowns From Outer Space,6,cocooned,cocoon,No,No,1
578,Unnamed,Killer Clowns From Outer Space,7,cocooned,cocoon,No,No,1
579,Unnamed,Killer Clowns From Outer Space,8,decapitated,hands,Yes,No,0
580,Bob Mcreed,Killer Clowns From Outer Space,9,cocooned,cocoon,No,No,0
581,Myers,Killer Clowns From Outer Space,10,unknown,unknown,No,No,0
582,Joe,Killer Clowns From Outer Space,11,car crash,car,No,No,0
583,Unnamed,Killer Clowns From Outer Space,12,unknown,unknown,No,No,0
584,Unnamed,Killer Clowns From Outer Space,13,bite,bite,No,No,0
585,Unnamed,Killer Clowns From Outer Space,14,bite,bite,No,No,0
586,Unnamed,Killer Clowns From Outer Space,15,bite,bite,No,No,0
587,Unnamed,Killer Clowns From Outer Space,16,bite,bite,No,No,0
588,Unnamed,Killer Clowns From Outer Space,17,bite,bite,No,No,1
589,Curtis Mooney,Killer Clowns From Outer Space,18,bludgeoned (head),bar,No,Yes,0
590,Unnamed,Killer Clowns From Outer Space,19,cocooned,cocoon,No,No,0
591,Unnamed,Killer Clowns From Outer Space,20,cocooned,cocoon,No,No,0
592,Jumbo,Killer Clowns From Outer Space,21,shot (head),gun,No,No,2
593,Unnamed,Killer Clowns From Outer Space,22,cocooned,cocoon,No,No,3
594,Unnamed,Killer Clowns From Outer Space,23,cocooned,cocoon,No,No,3
595,Unnamed,Killer Clowns From Outer Space,24,cocooned,cocoon,No,No,3
596,Unnamed,Killer Clowns From Outer Space,25,cocooned,cocoon,No,No,3
597,Unnamed,Killer Clowns From Outer Space,26,cocooned,cocoon,No,No,3
598,Unnamed,Killer Clowns From Outer Space,27,cocooned,cocoon,No,No,3
599,Unnamed,Killer Clowns From Outer Space,28,cocooned,cocoon,No,No,3
600,Unnamed,Killer Clowns From Outer Space,29,cocooned,cocoon,No,No,3
601,Unnamed,Killer Clowns From Outer Space,30,cocooned,cocoon,No,No,3
602,Unnamed,Killer Clowns From Outer Space,31,cocooned,cocoon,No,No,3
603,Unnamed,Killer Clowns From Outer Space,32,cocooned,cocoon,No,No,3
604,Unnamed,Killer Clowns From Outer Space,33,cocooned,cocoon,No,No,3
605,Unnamed,Killer Clowns From Outer Space,34,cocooned,cocoon,No,No,3
606,Unnamed,Killer Clowns From Outer Space,35,cocooned,cocoon,No,No,3
607,Unnamed,Killer Clowns From Outer Space,36,cocooned,cocoon,No,No,3
608,Unnamed,Killer Clowns From Outer Space,37,burns,acid,No,No,0
609,Unnamed,Killer Clowns From Outer Space,38,shot (head),gun,No,No,2
610,Fatso,Killer Clowns From Outer Space,39,shot (head),gun,No,No,2
611,Jojo,Killer Clowns From Outer Space,40,stab (head),badge,No,No,2
612,Georgie Denbrough,IT (2017),1,bite,bite,Yes,No,0
613,Patrick Hockstetter,IT (2017),2,unknown,unknown,No,Yes,0
614,Butch Bowers,IT (2017),3,stab (throat),knife,No,No,0
615,Tina Gray,A Nightmare on Elm Street,1,slash (chest),fingerknives,No,No,1
616,Rod Lane,A Nightmare on Elm Street,2,hanged,sheets,No,Yes,0
617,Glen Lantz,A Nightmare on Elm Street,3,ground up,unknown,Yes,No,0
618,Marge Thompson,A Nightmare on Elm Street,4,burns,fire,No,No,1
619,Schneider,A Nightmare on Elm Street 2: Freddy's Revenge,1,slash (back),fingerknives,No,No,0
620,Ron Grady,A Nightmare on Elm Street 2: Freddy's Revenge,2,stab (chest),fingerknives,No,No,0
621,Unnamed,A Nightmare on Elm Street 2: Freddy's Revenge,3,slash (head),fingerknives,Yes,No,0
622,Unnamed,A Nightmare on Elm Street 2: Freddy's Revenge,4,burns,fire,Yes,No,1
623,Unnamed,A Nightmare on Elm Street 2: Freddy's Revenge,5,burns,fire,Yes,No,0
624,Unnamed,A Nightmare on Elm Street 2: Freddy's Revenge,6,burns,fire,Yes,No,1
625,Unnamed,A Nightmare on Elm Street 2: Freddy's Revenge,7,trampled,trampled,Yes,No,0
626,Unnamed,A Nightmare on Elm Street 2: Freddy's Revenge,8,stab (chest),fingerknives,Yes,No,0
627,Unnamed,A Nightmare on Elm Street 2: Freddy's Revenge,9,slash (chest),fingerknives,No,Yes,0
628,Kerry,A Nightmare on Elm Street 2: Freddy's Revenge,10,stab (back),fingerknives,No,No,1
629,Phillip,A Nightmare on Elm Street 3: Dream Warriors,1,thrown,gravity,No,No,0
630,Jennifer,A Nightmare on Elm Street 3: Dream Warriors,2,head crushed,television,Yes,No,1
631,Taryn,A Nightmare on Elm Street 3: Dream Warriors,3,overdose,overdose,No,No,1
632,Will,A Nightmare on Elm Street 3: Dream Warriors,4,stab (chest),fingerknives,No,Yes,0
633,Donald Thompson,A Nightmare on Elm Street 3: Dream Warriors,5,stab (back),spike,No,No,0
634,Nancy Thompson,A Nightmare on Elm Street 3: Dream Warriors,6,stab (gut),fingerknives,No,No,1
635,Kincaid,A Nightmare on Elm Street 4: The Dream Master,1,stab (gut),fingerknives,No,No,0
636,Joey,A Nightmare on Elm Street 4: The Dream Master,2,unknown,fingerknives,No,No,0
637,Kristen Parker,A Nightmare on Elm Street 4: The Dream Master,3,burns,fire,No,No,1
638,Sheila,A Nightmare on Elm Street 4: The Dream Master,4,suffocated,hands,No,No,1
639,Rick Johnson,A Nightmare on Elm Street 4: The Dream Master,5,stab (gut),fingerknives,No,Yes,0
640,Debbie,A Nightmare on Elm Street 4: The Dream Master,6,crushed,hands,Yes,No,1
641,Freddy Krueger,A Nightmare on Elm Street 4: The Dream Master,7,ripped apart,souls,No,No,0
642,Dan Jordan,A Nightmare on Elm Street 5: The Dream Child,1,car crash,motorcycle,No,No,0
643,Gretta,A Nightmare on Elm Street 5: The Dream Child,2,suffocated,food,No,No,1
644,Mark,A Nightmare on Elm Street 5: The Dream Child,3,crushed,shelves,Yes,No,0
645,Carlos,Freddy's Dead: The Final Nightmare,1,head exploded,sound,Yes,No,0
646,Spencer,Freddy's Dead: The Final Nightmare,2,thrown,gravity,No,Yes,0
647,John Doe,Freddy's Dead: The Final Nightmare,3,stab (back),spike,No,No,0
648,Alice Cooper,Freddy's Dead: The Final Nightmare,4,unknown,knife,No,No,0
649,Loretta Krueger,Freddy's Dead: The Final Nightmare,5,suffocated,hands,No,No,1
650,Freddy Krueger,Freddy's Dead: The Final Nightmare,6,explosion,bomb,No,No,0
651,Unnamed,My Bloody Valentine (1981),1,stab (back),spike,No,No,1
652,Unnamed,My Bloody Valentine (1981),2,unknown,unknown,No,No,0
653,Unnamed,My Bloody Valentine (1981),3,unknown,unknown,No,No,0
654,Unnamed,My Bloody Valentine (1981),4,unknown,unknown,No,No,0
655,Unnamed,My Bloody Valentine (1981),5,unknown,unknown,No,No,0
656,Unnamed,My Bloody Valentine (1981),6,stab (chest),pickaxe,No,No,0
657,Unnamed,My Bloody Valentine (1981),7,unknown,unknown,No,No,0
658,Mabel,My Bloody Valentine (1981),8,unknown,pickaxe,No,No,1
659,Happy,My Bloody Valentine (1981),9,stab (head),pickaxe,Yes,No,0
660,Dave,My Bloody Valentine (1981),10,burns,water,No,No,0
661,Sylvia,My Bloody Valentine (1981),11,stab (head),spike,No,No,1
662,Mike,My Bloody Valentine (1981),12,stab (back),spike,No,No,0
663,Harriet,My Bloody Valentine (1981),13,stab (gut),spike,No,No,1
664,Hollis,My Bloody Valentine (1981),14,shot (head),nailgun,No,No,0
665,Howard,My Bloody Valentine (1981),15,hanged,rope,No,No,0
666,Patty,My Bloody Valentine (1981),16,stab (gut),pickaxe,No,Yes,1
667,Unnamed,My Bloody Valentine 3D (2009),1,unknown,pickaxe,No,No,0
668,Unnamed,My Bloody Valentine 3D (2009),2,unknown,pickaxe,No,No,0
669,Unnamed,My Bloody Valentine 3D (2009),3,unknown,pickaxe,No,No,0
670,Unnamed,My Bloody Valentine 3D (2009),4,unknown,pickaxe,No,No,0
671,Unnamed,My Bloody Valentine 3D (2009),5,unknown,pickaxe,No,No,0
672,Unnamed,My Bloody Valentine 3D (2009),6,unknown,unknown,No,No,0
673,Unnamed,My Bloody Valentine 3D (2009),7,unknown,unknown,No,No,0
674,Unnamed,My Bloody Valentine 3D (2009),8,unknown,unknown,No,No,1
675,Unnamed,My Bloody Valentine 3D (2009),9,unknown,unknown,No,No,1
676,Unnamed,My Bloody Valentine 3D (2009),10,unknown,unknown,No,No,1
677,Unnamed,My Bloody Valentine 3D (2009),11,unknown,unknown,No,No,0
678,Unnamed,My Bloody Valentine 3D (2009),12,unknown,unknown,No,No,2
679,Unnamed,My Bloody Valentine 3D (2009),13,unknown,unknown,No,No,2
680,Unnamed,My Bloody Valentine 3D (2009),14,unknown,unknown,No,No,1
681,Jason,My Bloody Valentine 3D (2009),15,stab (head),pickaxe,No,No,0
682,Unnamed,My Bloody Valentine 3D (2009),16,stab (gut),pickaxe,No,No,0
683,Unnamed,My Bloody Valentine 3D (2009),17,stab (gut),pickaxe,No,No,1
684,Unnamed,My Bloody Valentine 3D (2009),18,stab (gut),pickaxe,No,No,0
685,Michael,My Bloody Valentine 3D (2009),19,stab (head),pickaxe,No,No,0
686,Brandy,My Bloody Valentine 3D (2009),20,decapitated,shovel,No,Yes,1
687,Frank,My Bloody Valentine 3D (2009),21,stab (head),pickaxe,No,No,0
688,Selene,My Bloody Valentine 3D (2009),22,stab (head),pickaxe,No,No,1
689,Irene,My Bloody Valentine 3D (2009),23,stab (gut),pickaxe,No,No,1
690,Red,My Bloody Valentine 3D (2009),24,stab (head),pickaxe,No,No,0
691,Ben,My Bloody Valentine 3D (2009),25,stab (head),pickaxe,No,No,0
692,Megan,My Bloody Valentine 3D (2009),26,stab (chest),unknown,No,No,1
693,Rosa,My Bloody Valentine 3D (2009),27,stab (head),pickaxe,No,No,1
694,Burke,My Bloody Valentine 3D (2009),28,stab (head),pickaxe,Yes,No,0
695,Harry Warden,My Bloody Valentine 3D (2009),29,shot,gun,No,No,0
696,Unnamed,My Bloody Valentine 3D (2009),30,stab (head),pickaxe,No,No,0
